year,country_destination_id,import_val
2008,ISL,134853.6
2008,ITA,169054667.3
2008,LTU,1783731.72
2008,LVA,11100970.23
2008,MDA,3688255.77
2008,MKD,469038.88
2008,MLT,64500
2008,NLD,31069964.27
2008,NOR,1327085.79
2008,POL,33470286.25
2008,PRT,3710499.88
2008,ROU,81725605.97
2008,RUS,775483198.4
2008,SMR,15107
2008,SRB,1085769.01
2008,SVK,11916970.12
2008,SVN,10679291.82
2008,SWE,40061967.47
2008,UKR,282204029.7
2008,AIA,32314.17
2008,BHS,45917.63
2008,BLZ,220600
2008,BRB,3140189.73
2008,CAN,28798696.66
2008,CRI,423737.73
2008,CUB,148362.72
2008,DMA,73812
2008,DOM,90274.27
2008,GRD,2310
2008,GTM,29924.42
2008,HND,158441.83
2008,JAM,3347.53
2008,MEX,2772643.77
2008,NIC,54824.29
2008,PAN,226510
2008,SLV,155069.93
2008,TTO,15000
2008,USA,173552477.1
2008,VGB,73081
2008,AUS,6163610.11
2008,NZL,7977602.09
2008,PNG,161183.98
2008,ARG,3707380.54
2008,BRA,46617414.61
2008,CHL,885675.78
2008,COL,1331398.29
2008,ECU,9612065.9
2008,FLK,2479.4
2008,GUY,252299.28
2008,PER,49812.8
2008,PRY,141477
2008,URY,38557.95
2008,XXA,662953.61
2009,CIV,1670048.83
2009,CMR,55574.93
2009,COD,7825
2009,EGY,7579147.13
2009,ETH,518134.63
2009,GHA,1775680.44
2009,KEN,1567700.86
2009,MAR,143066
2009,MDG,4009
2009,MRT,298551.87
2009,MUS,20531
2009,MWI,372673.47
2009,NER,2083.7
2009,NGA,218638
2009,SDN,8759
2009,SLE,3261.97
2009,TUN,247107
2009,TZA,22117.95
2009,UGA,96593.85
2009,ZAF,3387553.09
2009,ZMB,6483
2009,ZWE,7255.44
2009,AFG,2713.45
2009,ARE,30046329.11
2009,BGD,685258.19
2009,BHR,121462.4
2009,CHN,283000381.5
2009,CYP,1777493.48
2009,GEO,79497849.12
2009,HKG,3993078.07
2009,IDN,23897985.2
2009,IND,43807634.62
2009,IRN,126442153.6
2009,ISR,9815585.43
2009,JOR,165680.57
2009,JPN,52621538.44
2009,KAZ,3245746.85
2009,KGZ,378628.64
2009,KHM,153225
2009,KOR,101574129.5
2009,KWT,77682.25
2009,LAO,1393
2009,LBN,5486972.86
2009,LKA,4601521.64
2009,MMR,10202.11
2009,MYS,10485854.11
2009,NPL,8737.42
2009,OMN,23108.28
2009,PAK,2643321.48
2009,PHL,1738990
2009,PRK,66476.82
2009,QAT,897154.16
2009,SAU,2935761.66
2009,SGP,3803931.02
2009,SYR,3142788.99
2009,THA,14135011.49
2009,TKM,13547171.74
2009,TUR,174933399.7
2009,UZB,3190684.22
2009,VNM,8773195.43
2009,XXB,8131974.08
2009,ALB,301756.7
2009,AND,39772
2009,AUT,104405043.3
2009,BGR,70671246.09
2009,BIH,15802
2009,BLR,23682256.58
2009,BLX,68733656.86
2009,CHE,107424886.4
2009,CZE,21100443.16
2009,DEU,199551247.3
2009,DNK,8544775.53
2009,ESP,20185598.61
2009,EST,3197041.69
2009,FIN,31292878.88
2009,FRA,73878190.68
2009,GBR,27005153.24
2009,GRC,29991908.73
2009,HRV,1306216.96
2009,HUN,16069221.51
2009,IRL,3055298.34
2009,ISL,9417.11
2009,ITA,120375485.5
2009,LTU,2129145.15
2009,LVA,2326887.47
2009,MDA,2036056.04
2009,MKD,305194.03
2009,MLT,60004
2009,MNE,1733011
2009,NLD,47938696.09
2009,NOR,1070525.73
2009,POL,34292459.46
2009,PRT,2002118.47
2009,ROU,59810434.48
2009,RUS,691516460.4
2009,SMR,5930
2009,SRB,882957.25
2009,SVK,6357470.43
2009,SVN,11335863.09
2009,SWE,25354617.21
2009,UKR,183263264.7
2009,BHS,63699.67
2009,BLZ,30200
2009,CAN,17974600.41
2009,CRI,479305.86
2009,CUB,51656.01
2009,DMA,8031
2009,DOM,67374
2009,GTM,293200.15
2009,HND,115149.09
2009,MEX,2664962.59
2009,MSR,6255
2009,NIC,73243.75
2009,PAN,74350.85
2009,SLV,113014.25
2009,TTO,4314.77
2009,USA,109743833.9
2009,VGB,63051
2009,AUS,3378758.04
2009,FJI,25892
2009,NZL,9173808.76
2009,PNG,12081.38
2009,ARG,4088648.54
2009,BOL,7496.96
2009,BRA,49025616.58
2009,CHL,446477.52
2009,COL,2046204.55
2009,ECU,9822859.32
2009,PER,26395.76
2009,PRY,125603.21
2009,URY,134589.23
2009,XXA,733925.98
2010,BEN,3493
2010,CAF,5064.15
2010,CIV,1366896.3
2010,CMR,156184.23
2010,EGY,10487041.62
2010,ETH,368802.76
2010,GAB,26850.25
2010,GHA,919150.71
2010,GMB,4073
2010,KEN,3807616.19
2010,MAR,692184.2
2010,MDG,34325.99
2010,MLI,2282
2010,MRT,168246.95
2010,MUS,30442
2010,MWI,851835.05
2010,NGA,195191.28
2010,SDN,1094
2010,SLE,2897.68
2010,TUN,359964.77
2010,TZA,50849.64
